,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007-01-01,80000.0,45000.0,Petrol
1,Mahindra Jeep CL550,Mahindra,2006-01-01,425000.0,40.0,Diesel
2,Maruti Suzuki Alto,Maruti,2018-01-01,284999.5,22000.0,Petrol
3,Hyundai Grand i10,Hyundai,2014-01-01,325000.0,28000.0,Petrol
4,Ford EcoSport Titanium,Ford,2014-01-01,575000.0,36000.0,Diesel
5,Ford EcoSport Titanium,Ford,2015-01-01,284999.5,59000.0,Diesel
6,Ford Figo,Ford,2012-01-01,175000.0,41000.0,Diesel
7,Hyundai Eon,Hyundai,2013-01-01,190000.0,25000.0,Petrol
8,Ford EcoSport Ambiente,Ford,2016-01-01,830000.0,24530.0,Diesel
9,Maruti Suzuki Alto,Maruti,2015-01-01,250000.0,60000.0,Petrol
10,Skoda Fabia Classic,Skoda,2010-01-01,182000.0,60000.0,Petrol
11,Maruti Suzuki Stingray,Maruti,2015-01-01,315000.0,30000.0,Petrol
12,Hyundai Elite i20,Hyundai,2014-01-01,415000.0,32000.0,Petrol
13,Mahindra Scorpio SLE,Mahindra,2015-01-01,320000.0,48660.0,Diesel
14,Hyundai Santro Xing,Hyundai,2007-01-01,80000.0,45000.0,Petrol
15,Mahindra Jeep CL550,Mahindra,2006-01-01,425000.0,40.0,Diesel
16,Audi A8,Audi,2017-01-01,1000000.0,4000.0,Petrol
17,Audi Q7,Audi,2014-01-01,500000.0,16934.0,Diesel
18,Mahindra Scorpio S10,Mahindra,2016-01-01,350000.0,43000.0,Diesel
19,Maruti Suzuki Alto,Maruti,2014-01-01,160000.0,35550.0,Petrol
20,Mahindra Scorpio S10,Mahindra,2016-01-01,350000.0,43000.0,Diesel
21,Mahindra Scorpio S10,Mahindra,2016-01-01,310000.0,39522.0,Diesel
22,Maruti Suzuki Alto,Maruti,2015-01-01,75000.0,39000.0,Petrol
23,Hyundai i20 Sportz,Hyundai,2012-01-01,100000.0,55000.0,Petrol
